,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
3555489,"Atlanta, GA",2018-11-01,2018-11-30,30,375000.0,507.0
3564325,"New York, NY",2021-05-01,2021-05-31,30,675000.0,790.0
3568362,"Atlanta, GA",2021-07-01,2021-07-31,30,505000.0,672.0
3570981,"Austin, TX",2023-01-01,2023-01-31,30,553688.0,392.0
3571892,"Atlanta, GA",2021-03-01,2021-03-31,30,438150.0,709.0
3572656,"Austin, TX",2021-10-01,2021-10-31,30,575000.0,822.0
3607543,"Atlanta, GA",2018-01-01,2018-01-31,30,259000.0,399.0
3614781,"Atlanta, GA",2020-12-01,2020-12-31,30,424700.0,685.0
3615990,"Austin, TX",2019-05-01,2019-05-31,30,417500.0,1186.0
3627751,"Atlanta, GA",2018-02-01,2018-02-28,30,263500.0,457.0
3630312,"Chicago, IL",2020-01-01,2020-01-31,30,222000.0,680.0
3631493,"Denver, CO",2018-06-01,2018-06-30,30,480000.0,953.0
3633181,"Denver, CO",2019-08-01,2019-08-31,30,484175.0,764.0
3651300,"Denver, CO",2022-06-01,2022-06-30,30,743000.0,746.0
3673253,"Boston, MA",2020-12-01,2020-12-31,30,690000.0,107.0
3676651,"Chicago, IL",2022-10-01,2022-10-31,30,305000.0,731.0
3685317,"Austin, TX",2021-02-01,2021-02-28,30,550000.0,603.0
3691739,"Denver, CO",2020-09-01,2020-09-30,30,540000.0,870.0
3705513,"Denver, CO",2021-02-01,2021-02-28,30,570000.0,569.0
3707107,"Austin, TX",2018-04-01,2018-04-30,30,400000.0,993.0
3708425,"Austin, TX",2020-07-01,2020-07-31,30,461000.0,1261.0
3708794,"Denver, CO",2020-11-01,2020-11-30,30,555000.0,783.0
3710089,"Atlanta, GA",2019-12-01,2019-12-31,30,358950.0,561.0
3717460,"Denver, CO",2021-12-01,2021-12-31,30,621000.0,670.0
3727693,"Chicago, IL",2021-06-01,2021-06-30,30,347000.0,1248.0
3764403,"Atlanta, GA",2018-06-01,2018-06-30,30,380000.0,721.0
3773850,"Denver, CO",2020-03-01,2020-03-31,30,509998.5,666.0
3784711,"Austin, TX",2019-12-01,2019-12-31,30,406500.5,908.0
3788637,"Austin, TX",2020-01-01,2020-01-31,30,396000.0,541.0
3818539,"Atlanta, GA",2019-10-01,2019-10-31,30,326250.0,576.0
3822392,"Austin, TX",2019-08-01,2019-08-31,30,405000.0,1066.0
3838657,"Denver, CO",2019-10-01,2019-10-31,30,465700.0,696.0
3848476,"Chicago, IL",2021-05-01,2021-05-31,30,350000.0,1026.0
3880568,"New York, NY",2022-03-01,2022-03-31,30,705000.0,821.0
3882503,"New York, NY",2019-06-01,2019-06-30,30,619999.5,710.0
3885484,"Atlanta, GA",2020-08-01,2020-08-31,30,412500.0,724.0
3887540,"Raleigh, NC",2021-12-01,2021-12-31,30,430000.0,450.0
3900970,"Austin, TX",2020-06-01,2020-06-30,30,445000.0,1047.0
3934109,"Los Angeles, CA",2018-09-01,2018-09-30,30,758500.0,1243.0
3967879,"New York, NY",2019-04-01,2019-04-30,30,585000.0,609.0
3979882,"Atlanta, GA",2019-01-01,2019-01-31,30,280000.0,342.0
3981116,"Atlanta, GA",2022-04-01,2022-04-30,30,540000.0,603.0
3981120,"Denver, CO",2019-01-01,2019-01-31,30,411000.0,465.0
3989315,"Atlanta, GA",2019-09-01,2019-09-30,30,360000.0,551.0
4002657,"Denver, CO",2020-01-01,2020-01-31,30,448000.0,451.0
4046113,"Denver, CO",2019-03-01,2019-03-31,30,470000.0,768.0
4072148,"Atlanta, GA",2021-06-01,2021-06-30,30,570000.0,740.0
4087981,"Chicago, IL",2020-10-01,2020-10-31,30,285000.0,1145.0
4096787,"Denver, CO",2021-11-01,2021-11-30,30,619750.0,765.0
4106489,"Atlanta, GA",2022-07-01,2022-07-31,30,510000.0,422.0
4149436,"Austin, TX",2018-03-01,2018-03-31,30,375000.0,920.0
4166921,"Atlanta, GA",2022-02-01,2022-02-28,30,438000.0,488.0
4179778,"Denver, CO",2020-12-01,2020-12-31,30,533000.0,759.0
4188328,"Denver, CO",2018-07-01,2018-07-31,30,469000.0,779.0
4253061,"Chicago, IL",2020-05-01,2020-05-31,30,255000.0,730.0
4267137,"Austin, TX",2021-06-01,2021-06-30,30,630000.0,1105.0
4325152,"Denver, CO",2021-07-01,2021-07-31,30,630000.0,867.0
4350811,"Denver, CO",2022-10-01,2022-10-31,30,650000.0,470.0
4392017,"Austin, TX",2020-10-01,2020-10-31,30,475000.0,1072.0
4402683,"Denver, CO",2019-09-01,2019-09-30,30,467000.0,657.0
4439699,"Austin, TX",2020-08-01,2020-08-31,30,474400.0,1101.0
4473269,"Denver, CO",2018-01-01,2018-01-31,30,444250.0,504.0
4478189,"Atlanta, GA",2021-08-01,2021-08-31,30,449180.0,579.0
4489986,"Chicago, IL",2019-08-01,2019-08-31,30,250000.0,993.0
4493058,"Austin, TX",2018-09-01,2018-09-30,30,365000.0,793.0
4503084,"Denver, CO",2019-04-01,2019-04-30,30,499900.0,858.0
4503776,"Atlanta, GA",2020-01-01,2020-01-31,30,315000.0,402.0
4557462,"Denver, CO",2019-07-01,2019-07-31,30,495000.0,930.0
4608152,"Atlanta, GA",2021-04-01,2021-04-30,30,485125.0,692.0
4611336,"Atlanta, GA",2020-04-01,2020-04-30,30,431500.0,435.0
4668125,"Denver, CO",2018-12-01,2018-12-31,30,425125.0,550.0
